Suburb,Type,Price,Rooms,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Distance,Lattitude,Longtitude,Regionname,Method,Date
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-03-04
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-03-05
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-03-06
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-03-07
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-03-08
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-03-09
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-03-10
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-03-11
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-03-12
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-03-13
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-03-14
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-03-15
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-03-16
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-03-17
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-03-18
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-03-19
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-03-20
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-03-21
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-03-22
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-03-23
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-03-24
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-03-25
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-03-26
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-03-27
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-03-28
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-03-29
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-03-30
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-03-31
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-04-01
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-04-02
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-04-03
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-04-04
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-04-05
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-04-06
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-04-07
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-04-08
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-04-09
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-04-10
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-04-11
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-04-12
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-04-13
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-04-14
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-04-15
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-04-16
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-04-17
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-04-18
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-04-19
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-04-20
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-04-21
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-04-22
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-04-23
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-04-24
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-04-25
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-04-26
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-04-27
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-04-28
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-04-29
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-04-30
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-05-01
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-05-02
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-05-03
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-05-04
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-05-05
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-05-06
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-05-07
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-05-08
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-05-09
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-05-10
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-05-11
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-05-12
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-05-13
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-05-14
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-05-15
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-05-16
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-05-17
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-05-18
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-05-19
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-05-20
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-05-21
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-05-22
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-05-23
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-05-24
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-05-25
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-05-26
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-05-27
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-05-28
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-05-29
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-05-30
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-05-31
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-06-01
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-06-02
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-06-03
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-06-04
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-06-05
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-06-06
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-06-07
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-06-08
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-06-09
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-06-10
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-06-11
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-06-12
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-06-13
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-06-14
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-06-15
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-06-16
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-06-17
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-06-18
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-06-19
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-06-20
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-06-21
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-06-22
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-06-23
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-06-24
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-06-25
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-06-26
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-06-27
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-06-28
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-06-29
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-06-30
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-07-01
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-07-02
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-07-03
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-07-04
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-07-05
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-07-06
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-07-07
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-07-08
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-07-09
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-07-10
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-07-11
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-07-12
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-07-13
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-07-14
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-07-15
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-07-16
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-07-17
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-07-18
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-07-19
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-07-20
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-07-21
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-07-22
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-07-23
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-07-24
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-07-25
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-07-26
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-07-27
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-07-28
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-07-29
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-07-30
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-07-31
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-08-01
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-08-02
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-08-03
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-08-04
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-08-05
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-08-06
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-08-07
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-08-08
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-08-09
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-08-10
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-08-11
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-08-12
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-08-13
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-08-14
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-08-15
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-08-16
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-08-17
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-08-18
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-08-19
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-08-20
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-08-21
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-08-22
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-08-23
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-08-24
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-08-25
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-08-26
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-08-27
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-08-28
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-08-29
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-08-30
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-08-31
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-09-01
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-09-02
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-09-03
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-09-04
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-09-05
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-09-06
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-09-07
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-09-08
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-09-09
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-09-10
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-09-11
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-09-12
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-09-13
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-09-14
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-09-15
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-09-16
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-09-17
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-09-18
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-09-19
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-09-20
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-09-21
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-09-22
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-09-23
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-09-24
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-09-25
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-09-26
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-09-27
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-09-28
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-09-29
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-09-30
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-10-01
